id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_69_batch_register_image","Batch_register_images → _extract_usage","Batch_register_images → _extract_usage","cross_community",4,"['comm_84','comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/tool/bioimaging.py:batch_register_images","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_extract_usage"
"proc_70_batch_register_image","Batch_register_images → _prompt_from_call","Batch_register_images → _prompt_from_call","cross_community",4,"['comm_84','comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/tool/bioimaging.py:batch_register_images","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_prompt_from_call"
"proc_71_go","Go → _prompt_from_call","Go → _prompt_from_call","intra_community",4,"['comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/react.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_prompt_from_call"
"proc_72_go","Go → _extract_usage","Go → _extract_usage","intra_community",4,"['comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/react.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_extract_usage"
"proc_73_go","Go → _ensure_parent","Go → _ensure_parent","cross_community",4,"['comm_28','comm_27']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/react.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_ensure_parent"
"proc_74_go","Go → _update_peaks","Go → _update_peaks","cross_community",4,"['comm_28','comm_27']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/react.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_update_peaks"
"proc_75_go","Go → _utc_iso","Go → _utc_iso","cross_community",4,"['comm_28','comm_27']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/react.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_utc_iso"
"proc_76_go","Go → _format_resources_for_prompt","Go → _format_resources_for_prompt","cross_community",4,"['comm_35','comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/model/retriever.py:_format_resources_for_prompt"
"proc_77_go","Go → _prompt_from_call","Go → _prompt_from_call","cross_community",4,"['comm_35','comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_prompt_from_call"
"proc_78_go","Go → _extract_usage","Go → _extract_usage","cross_community",4,"['comm_35','comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_extract_usage"
