"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"205529_s_at",-0.442484914741245,2.99940027590806,-6.3123705751838,2.70045927219293e-07,8.32223100849713e-05,6.82673231417077
"204825_at",0.333991369092248,3.16381608809394,6.30567595180295,2.75633846626745e-07,8.32223100849713e-05,6.80731818691844
"208579_x_at",0.215782126388048,3.34264484163702,6.30471095183128,2.76448846177128e-07,8.32223100849713e-05,6.80451953840857
"204092_s_at",0.323007841592459,2.93853786235397,6.29801387381388,2.82172038867837e-07,8.38126201314507e-05,6.78509567749877
"203657_s_at",-0.191686234662877,3.34549231087114,-6.29351704937083,2.86081603084944e-07,8.38557877884643e-05,6.772052047738
"209866_s_at",-0.231077958283056,2.75410191033877,-6.27382122076634,3.03856747628546e-07,8.79093086613134e-05,6.7149098553292
"210139_s_at",-0.206924219379538,3.55563365027509,-6.26681061105873,3.104480333468e-07,8.86647543444445e-05,6.69456585433675
"215385_at",-0.202140875435279,3.14936936939552,-6.2609653218884,3.16053387998934e-07,8.88576340677354e-05,6.67760167132327
"220518_at",-0.303751478269828,2.75265557966604,-6.25783091498581,3.1910089892799e-07,8.88576340677354e-05,6.66850433093137
"AFFX-HUMISGF3A/M97935_MB_at",0.274214328311258,2.99911804913765,6.24953281147268,3.27312242149057e-07,9.00189483747475e-05,6.64441756759868
"34858_at",-0.10030616181005,3.22005284165786,-6.24316576835101,3.33756353179348e-07,9.05370039868871e-05,6.62593386862853
"208527_x_at",0.196303203964446,3.23971819455165,6.23969348872985,3.37324205723914e-07,9.05370039868871e-05,6.61585295243503
"215350_at",-0.166899397109769,2.61155562033371,-6.22306488550178,3.54948825920882e-07,9.28954168504923e-05,6.56756820257369
"220083_x_at",0.144991663230593,2.87143558872954,6.22261157747354,3.55442023073014e-07,9.28954168504923e-05,6.56625174910278
"212529_at",0.163791970508229,2.93081458782582,6.2109214978761,3.68401279066643e-07,9.28954168504923e-05,6.53229938163647
"212021_s_at",0.329326306216802,2.99483761194235,6.21090236295894,3.6842287579752e-07,9.28954168504923e-05,6.53224380171203
"201292_at",0.315926346336072,3.16032830427601,6.21047274003033,3.6890810698699e-07,9.28954168504923e-05,6.53099590025338
"204134_at",-0.250411581666974,2.96051959335837,-6.20585012680908,3.74169826050236e-07,9.28954168504923e-05,6.51756834458491
"201540_at",-0.410390924341945,3.50724033295601,-6.20486459832403,3.75301320489487e-07,9.28954168504923e-05,6.51470550570446
"213568_at",-0.447386230750725,3.30536786430384,-6.19496624056348,3.86858036133313e-07,9.41651856242247e-05,6.4859496625919
"210334_x_at",0.242828854350006,2.91842315575146,6.19005080666846,3.92729112632957e-07,9.41651856242247e-05,6.47166821192288
"219431_at",-0.093257576132959,3.16401814675742,-6.18973257743354,3.93112280067015e-07,9.41651856242247e-05,6.47074358364767
"218675_at",-0.18048777933495,2.91930981152477,-6.16360026206957,4.25892865061887e-07,0.000100932078244507,6.39480063797259
"208131_s_at",-0.438546485672143,3.25170449985443,-6.15561294061066,4.36449675351977e-07,0.000102345151766484,6.37158317382854
"203214_x_at",0.301445742295083,3.08638609441265,6.15042276252272,4.43449920797183e-07,0.000102903477974988,6.3564950560918
"205384_at",-0.342739708160895,3.1134922946875,-6.14216857170311,4.54815640884235e-07,0.000104452866309053,6.33249751620791
"212949_at",0.248485654382438,2.85088601701293,6.13564497213549,4.64004912729788e-07,0.000105475892253893,6.31352948507685
"212365_at",0.22053375470468,3.29659729897773,6.12496819518173,4.79448255609908e-07,0.000106876127215457,6.28248217267497
"49452_at",-0.335143117394959,3.10515948436985,-6.12111350808552,4.85149701249209e-07,0.000106876127215457,6.27127196488615
"202112_at",-0.15556549666226,3.41274179133998,-6.11862101292843,4.88872510221698e-07,0.000106876127215457,6.26402299301626
"211612_s_at",0.270107694575588,2.97717076122893,6.1099217485275,5.02091883259072e-07,0.000106876127215457,6.23872096996081
"204482_at",-0.214910352103066,3.1422703732919,-6.10980271386577,5.02275233956685e-07,0.000106876127215457,6.23837473566099
"204287_at",-0.179708212317773,3.03102111788447,-6.10742452271248,5.05952507257966e-07,0.000106876127215457,6.23145722037791
"208103_s_at",0.265627003477306,2.98332318205406,6.10739982334498,5.05990840012091e-07,0.000106876127215457,6.23138537552582
"218782_s_at",0.278143834245655,2.97666375400608,6.10575792942845,5.08545562007382e-07,0.000106876127215457,6.22660942982799
"205407_at",-0.322205803136707,3.08578598513216,-6.09429554112163,5.26744848086274e-07,0.000109129330213238,6.19326493407666
"205196_s_at",0.18768062116205,2.98606533797304,6.09286325892034,5.29064401087656e-07,0.000109129330213238,6.1890980496999
"210405_x_at",0.212511091230702,2.84552012360157,6.07644412488222,5.56398440758093e-07,0.000111797639611708,6.1413254512435
"203723_at",-0.223936080200516,3.2316610604805,-6.07223138867733,5.63637220917952e-07,0.000111797639611708,6.12906673914736
"204570_at",-0.286824503409662,3.24342465169464,-6.070372039861,5.66862136212745e-07,0.000111797639611708,6.1236560016083
"212124_at",-0.140345662252358,3.54175505449614,-6.06787969017547,5.7121400422901e-07,0.000111797639611708,6.11640304202872
"205752_s_at",-0.271685746253517,3.07265819954033,-6.06754308381376,5.71804312670682e-07,0.000111797639611708,6.11542347192764
"212912_at",-0.237388117687048,3.26890684043602,-6.06511969894944,5.76072317878622e-07,0.000111797639611708,6.1083709846168
"201621_at",-0.171012650399472,3.48110663344767,-6.06452183911492,5.77130159148289e-07,0.000111797639611708,6.10663107520873
"214682_at",-0.192592197378605,3.10138304331661,-6.04819577565058,6.06782640670485e-07,0.0001165284214329,6.05911405857766
"214761_at",-0.307587979035369,3.03895962383613,-6.03270372767942,6.36332338889192e-07,0.00011748082417346,6.01401677338301
"217506_at",-0.301967048340856,3.0062343984296,-6.03027346378912,6.41097066694301e-07,0.00011748082417346,6.00694162836998
"218162_at",-0.310829357941543,3.38473751558785,-6.02866238975736,6.44275412449506e-07,0.00011748082417346,6.00225126658141
"219918_s_at",0.379562819161664,3.00194884318823,6.02451765059594,6.525250144781e-07,0.00011748082417346,5.99018422869728
"209447_at",-0.306173969030436,3.16186786687896,-6.0225925216881,6.56392697720928e-07,0.00011748082417346,5.98457921723718
"221565_s_at",-0.21373236021424,3.22330332191723,-6.02219372371462,6.57196773398427e-07,0.00011748082417346,5.98341810377216
"43427_at",-0.29297123291808,3.09169889603052,-6.01918625095365,6.63292482724029e-07,0.00011748082417346,5.97466159968045
"218726_at",0.239142800405083,2.96890608045319,6.01775709337072,6.66209018366415e-07,0.00011748082417346,5.97050039884029
"37384_at",-0.126208095421547,3.25635346718153,-6.01734251152346,6.67057474994962e-07,0.00011748082417346,5.96929327236816
"212865_s_at",-0.379199546173342,3.15044219913942,-6.01639825696798,6.68993972498298e-07,0.00011748082417346,5.96654389425811
"219578_s_at",-0.256272055979786,2.80238228160679,-6.01459245436535,6.72713064421826e-07,0.00011748082417346,5.96128588329393
"218694_at",-0.3579195972153,3.25765114257634,-6.01347464063958,6.75025609112666e-07,0.00011748082417346,5.95803106441765
"201523_x_at",0.114266358277145,3.36965641978501,5.99975091001022,7.04075626466755e-07,0.000120681092495434,5.91806785096651
"205498_at",-0.332119013450288,2.93263407558895,-5.999670990136,7.04248418746077e-07,0.000120681092495434,5.91783511084905
"218665_at",-0.159822550970488,3.19450295625072,-5.99306172564166,7.186862459446e-07,0.000121433855906466,5.89858722711202
"204154_at",-0.348861315758646,2.88547566565748,-5.99267352625553,7.19543429530616e-07,0.000121433855906466,5.89745665411435
"212813_at",-0.275560402243776,3.25099139035519,-5.98119503092202,7.45357669667641e-07,0.000124844607572827,5.86402546293355
"212567_s_at",-0.105462786366345,3.26015439268467,-5.97163386765443,7.67567388785704e-07,0.000127605214328202,5.83617594610172
"216264_s_at",-0.171091085714188,3.37431929574886,-5.96679776759856,7.79052637011575e-07,0.000128555226627458,5.82208861203179
"202934_at",0.285480100441583,3.31483535967569,5.95562469594904,8.06250640481943e-07,0.000131684380120564,5.78953982358754
"212022_s_at",0.338213391536279,2.98748276917144,5.9520148337069,8.15239778616319e-07,0.000131684380120564,5.77902314120579
"203859_s_at",-0.211248772665363,3.1211017794439,-5.94910056742729,8.22570000664069e-07,0.000131684380120564,5.77053273369887
"212605_s_at",-0.218577551724295,3.20214237692702,-5.94592894921099,8.30622623375247e-07,0.000131684380120564,5.76129233937827
"209897_s_at",-0.30713558364354,3.26477580415522,-5.94411527409267,8.3526293696287e-07,0.000131684380120564,5.75600816129428
"201539_s_at",-0.347530289164548,3.03405261663153,-5.9375465317044,8.52287670275989e-07,0.000131684380120564,5.73686939188131
"207165_at",0.309704472252846,2.98425299680668,5.9349103635628,8.59217430150577e-07,0.000131684380120564,5.72918835495135
"213381_at",-0.212618272663633,2.96971916547601,-5.93426943548416,8.60910769041077e-07,0.000131684380120564,5.72732085197725
"203968_s_at",0.262629248456587,2.80602359987462,5.93420677449097,8.61076499416326e-07,0.000131684380120564,5.72713827315468
"40446_at",-0.113042020761478,3.39133272273598,-5.93403355999876,8.61534796130227e-07,0.000131684380120564,5.72663356801311
"212736_at",-0.243860179756657,3.106977295106,-5.93346569540642,8.63038986290899e-07,0.000131684380120564,5.72497894341931
"209398_at",0.278629152143439,3.26138632864645,5.93101859164031,8.69551170924041e-07,0.000131775451936564,5.71784857690558
"204962_s_at",0.30568846824683,3.05002416433709,5.92224090931241,8.93317913854931e-07,0.000134038068651292,5.69227115022905
"217525_at",-0.248317584715383,3.18998092135352,-5.92107791174098,8.96515339993825e-07,0.000134038068651292,5.68888215432592
"220751_s_at",-0.258758915456047,3.13897416357868,-5.91250887606383,9.2043039358207e-07,0.000136696185852185,5.66391099420615
"216614_at",-0.223390968185011,2.88752107959204,-5.91029708485723,9.26706323992266e-07,0.00013671679986474,5.65746534433061
"209714_s_at",0.331546046405619,3.02432292206958,5.89136763135113,9.82202619951942e-07,0.000143950840557036,5.60229695681134
"215322_at",-0.276947408785289,3.05968224747238,-5.88228874630303,1.00998900900786e-06,0.000146312549808994,5.57583499053837
"218662_s_at",0.300718610962861,2.97218467081828,5.88181745189908,1.01145273917426e-06,0.000146312549808994,5.57446128383209
"202543_s_at",0.18750718574726,3.10089893067487,5.87286424528758,1.03966644720759e-06,0.00014823858830839,5.54836420279213
"206453_s_at",-0.240157494944512,3.44579492601139,-5.87138225254828,1.04441202211298e-06,0.00014823858830839,5.54404431979922
"222029_x_at",0.0909235639109749,3.24972074305331,5.87128307864512,1.04473036604647e-06,0.00014823858830839,5.54375523504876
"200785_s_at",-0.17929796982338,3.1292147685115,-5.86826517479543,1.05446432371209e-06,0.000148570005189135,5.53495818975675
"210018_x_at",0.16108235870759,3.15692982272416,5.86455265042387,1.06656340696779e-06,0.000148570005189135,5.5241361649606
"207191_s_at",-0.305231964995443,3.23363129244802,-5.86439699862333,1.06707370068958e-06,0.000148570005189135,5.52368243467026
"218368_s_at",0.190612820284985,3.26987978426266,5.85610145994412,1.0946268155792e-06,0.000151459637084831,5.49950013344734
"208454_s_at",-0.172445071579643,3.18196471828794,-5.8465131371918,1.12736276093715e-06,0.000154530506424463,5.4715480063837
"204719_at",-0.507844337924663,3.10466811328742,-5.8449370609854,1.13283676783338e-06,0.000154530506424463,5.46695326667272
"203276_at",0.293577928904269,3.10491784683898,5.84356299256003,1.13763087729999e-06,0.000154530506424463,5.46294741363847
"214710_s_at",0.325659257414087,3.16310438603671,5.84050623487471,1.14836886597307e-06,0.000155043716528982,5.45403588851847
"208097_s_at",0.205240369635131,3.11490192070969,5.83597788388569,1.16446319550971e-06,0.000156269557869698,5.44083392792436
"202094_at",0.248960010483661,2.86846081662733,5.83167672254936,1.17995916202153e-06,0.000156419311289585,5.42829407696322
"204773_at",-0.198218520672573,3.18417595469764,-5.82879413220389,1.19045977608229e-06,0.000156419311289585,5.41988988192532
"212677_s_at",-0.23083049167365,3.26695273652083,-5.82826089588592,1.19241246351675e-06,0.000156419311289585,5.4183352199678
"200911_s_at",-0.203034997446923,3.56088711652982,-5.82791922120202,1.19366534628673e-06,0.000156419311289585,5.41733905829781
"206580_s_at",-0.201770799217485,3.33196181711993,-5.82437793462751,1.20672872695849e-06,0.000157206408482188,5.40701426181997
"219091_s_at",-0.223294291333262,3.02377964238055,-5.8219329429461,1.21583144296456e-06,0.000157471378226287,5.39988568278999
"200730_s_at",0.241193432152611,3.21795697856041,5.81434981027438,1.24450305137105e-06,0.000159438862079349,5.37777599743777
"200810_s_at",-0.1597679038512,3.61465720268724,-5.81413199358712,1.24533653552124e-06,0.000159438862079349,5.37714091317898
"203360_s_at",0.183446104338233,3.15913178511089,5.80912015384097,1.26466966143456e-06,0.000160210114380335,5.36252784403018
"209053_s_at",0.204235251011653,3.10935149008118,5.80884388872734,1.26574404681685e-06,0.000160210114380335,5.36172232769593
"205325_at",-0.254184933368746,2.95432298688956,-5.8052647688267,1.27974599750127e-06,0.000161067240600767,5.35128648749334
"211621_at",-0.248667368987978,2.73805992164957,-5.79980241604237,1.30141486126731e-06,0.000162874263283437,5.33535936029562
"203806_s_at",0.202744443127219,2.87136684010055,5.79584270150487,1.31735210359214e-06,0.000163947781071074,5.32381345205169
"221272_s_at",-0.205813416466596,2.93391488785727,-5.79106942908624,1.33682369751018e-06,0.000164943775241827,5.30989515181744
"32625_at",-0.164262681148569,2.96189293683368,-5.79025769485813,1.34016354620329e-06,0.000164943775241827,5.30752821101963
"202192_s_at",-0.204398231224598,3.27686685569572,-5.78550447071619,1.3598888161624e-06,0.000166451885481592,5.29366814686625
"217969_at",-0.120562567536677,3.47850570782884,-5.78350087043686,1.36829031470471e-06,0.000166527270095596,5.28782573660423
"218573_at",-0.251672372634276,3.24975153557149,-5.78180185972222,1.37545529907931e-06,0.000166527270095596,5.2828714718133
"201369_s_at",-0.146669731685781,3.40710719052939,-5.77579302014094,1.4010980614973e-06,0.00016871492711338,5.26534970220789
"207233_s_at",-0.283422773232751,3.35557780048862,-5.77021891579659,1.42531317043919e-06,0.000170708072569214,5.24909539406334
"212419_at",-0.249095987219668,3.35300568289545,-5.76043819900759,1.46881929625035e-06,0.000174356378847191,5.2205739630756
"204223_at",-0.294555322614397,3.19904825715626,-5.75986100093823,1.47142789528536e-06,0.000174356378847191,5.21889078530337
"204589_at",-0.226491252452691,3.30429250306625,-5.75378942937933,1.49915030810914e-06,0.000176701436051573,5.20118525825875
"205878_at",-0.189030883450517,2.96065990147748,-5.74905531625614,1.52112808565592e-06,0.000177467152092291,5.18737981534297
"205024_s_at",0.229610289088241,2.97995804203368,5.74895880296798,1.52157947881796e-06,0.000177467152092291,5.18709836584658
"201591_s_at",-0.138395289136239,3.57869230024128,-5.74449686238448,1.54259497988882e-06,0.000178981189411372,5.17408652917015
"214915_at",-0.11526720270634,2.7827877488624,-5.74192132613684,1.55485755756432e-06,0.000179469232175442,5.16657575651466
"222037_at",0.253129505522938,2.97881373019499,5.73838199684571,1.57186817851746e-06,0.000180497460890894,5.15625433258232
"208079_s_at",0.303999517986504,3.0417275211753,5.73427590207293,1.59183620357006e-06,0.000181853000548361,5.14428004873905
"210754_s_at",0.208620361476207,3.19637783510383,5.72418399613829,1.64199833478715e-06,0.000186401456698113,5.11484960835748
"218820_at",-0.321689424574345,3.28575973367787,-5.72292115328325,1.64838564301873e-06,0.000186401456698113,5.11116683624618
"202994_s_at",-0.277325137585865,3.51499935895339,-5.71890293410697,1.66887514179603e-06,0.000187765310776718,5.0994486640442
"208335_s_at",-0.364724912211799,3.14406183541683,-5.70819785340205,1.72471395840316e-06,0.000192339250014868,5.06822976110884
"209613_s_at",-0.569520855100465,2.89740676996444,-5.70624035912701,1.73512473291774e-06,0.000192339250014868,5.06252117025183
"203666_at",-0.290766601723925,3.29893214578659,-5.7022761949551,1.75640073939067e-06,0.000192339250014868,5.05096057624958
"209550_at",-0.297774114405254,3.30281257782584,-5.70137875297354,1.7612534943081e-06,0.000192339250014868,5.04834338836793
"209763_at",-0.474573245644963,3.05367165401377,-5.70086683680506,1.76402759186741e-06,0.000192339250014868,5.04685049995306
"205383_s_at",-0.214616972945798,3.45810344655949,-5.70006342893392,1.76839010995936e-06,0.000192339250014868,5.04450754164983
"201663_s_at",0.287749602346553,3.19256477409706,5.69977358514073,1.76996661368443e-06,0.000192339250014868,5.04366227748373
"218516_s_at",0.141009682487297,3.07890127326487,5.68638413904428,1.84434678158529e-06,0.000199449093462988,5.0046150430443
"209408_at",0.277780087898367,3.09587162905136,5.68358368992735,1.86029460649974e-06,0.000199890566897203,4.99644820818597
"202995_s_at",-0.270768634682501,3.47293584908751,-5.68182990774975,1.87035208007413e-06,0.000199890566897203,4.99133373277478
"206030_at",-0.302052129850982,2.87126857866001,-5.68096223318817,1.87534804872808e-06,0.000199890566897203,4.98880337517615
"218567_x_at",0.198481683855561,3.15867946602707,5.67746700054525,1.895608697642e-06,0.000201087975987481,4.97861041370779
"201629_s_at",0.156650028868253,3.22200600423037,5.6716780698655,1.92964769102225e-06,0.000203728728023235,4.96172853275125
"212713_at",-0.33286399223248,3.2210000087211,-5.66892941152709,1.94602315286212e-06,0.000204488480076931,4.9537128351244
"215462_at",-0.200856981731091,3.06840702839647,-5.66606600194099,1.96323004054198e-06,0.000205328054521848,4.94536252467965
"221868_at",-0.226037365532509,2.97408461796115,-5.66241097098973,1.98541515053108e-06,0.00020667800611393,4.93470372234042
"221249_s_at",-0.187309168971721,3.21515484512789,-5.65565649514821,2.0270747716877e-06,0.000210033231111101,4.91500646364107
"204955_at",-0.371124656663947,3.21447626513771,-5.653953283602,2.03771692821363e-06,0.000210158425971366,4.91003962714878
"209911_x_at",0.213020638439795,3.33826729599699,5.64634341673919,2.08595198024803e-06,0.000214141715502236,4.88784822204429
"219213_at",-0.26002267130221,3.15329141201472,-5.63912182970474,2.13278097268249e-06,0.000217944778570862,4.86678939577549
"209867_s_at",-0.183832973202687,2.9778503320829,-5.6347135919396,2.16188157484126e-06,0.00021990975270657,4.853934721491
"202177_at",-0.228490739073093,3.36512309127321,-5.62765398430222,2.20931391111292e-06,0.000223713118172102,4.83334878058335
"217593_at",-0.199643175001101,3.16498301894899,-5.62380842005664,2.23558777728023e-06,0.000225349271106207,4.82213520306654
"222101_s_at",-0.31300789968566,3.22965481348452,-5.62221355640156,2.2465756868392e-06,0.000225436786377103,4.8174846511717
"213305_s_at",0.163962615713202,3.15384200622057,5.61759125788531,2.27872713002597e-06,0.000227637687334477,4.8040063509432
"214736_s_at",-0.0969878773471349,3.48667843022663,-5.61415402688195,2.30293330982333e-06,0.000229028773852385,4.7939837431187
"218663_at",0.251224183110815,2.82117274800548,5.60747856620606,2.35068078142457e-06,0.000232738292301312,4.77451909950612
"212707_s_at",-0.152153583592666,3.05380496630061,-5.60320100083501,2.3817956150464e-06,0.000234775490780481,4.76204658259608
"202861_at",-0.165581668846122,3.29102913376818,-5.59793039488904,2.4207002782192e-06,0.000236252768324447,4.74667881349187
